,input_scales,out_tweet,out_scale
0,Discrimination against women in the labor force is no longer a problem in Canada.-Things would work out best in a marriage if a husband stays away from housekeeping tasks-Women are more fearful than men are,"Women's abilities in the workplace should be solely judged on their qualifications, not their gender. "," Discrimination against women in the labor force is unacceptable and still prevalent in Canada.

X "
1,"No woman is too cultured to take complete responsibility for housework-Women ought to take care of their men at home, because men would fall apart if they had to fend for themselves-Discrimination against women in the labor force is no longer a problem in Canada.",Women can't handle high-pressure jobs , Women are too emotional to be effective leaders
2,Most men don’t want to assume a passive role in sex-It is alright that most women are more interested in getting married than in making something out of themselves-The husband should make the major decisions.,Women belong in the kitchen , Women's place is in the home.
3,Men usually try to dominate conversations when talking to women-Women should accept the intellectual limitations of their sex-Men should not be too quick to tell others that they care about them,Stop assuming men are always trying to assert dominance over women in conversations. Respect each other's opinions instead , Assuming that men always try to dominate conversations when talking to women is unfair and disrespectful
4,Women are generally not as competent as men are-Men are superior to women in intelligence-Women are too nervous and high-strung to make good surgeons,Women can't handle leadership roles as efficiently as men can , Women are generally not as competent as men are
5,"A man should be careful to hide his feelings-Women exaggerate problems they have at work.-In a group, it’s up to the men to get things organized and moving ahead",Going to the kitchen is a woman's job , Women are better suited to cooking and domestic tasks.
6,Women have more intuition than men.-It is a disgrace to have one’s wife working outside of the home in competition with men-Women should accept the intellectual limitations of their sex,Women are better suited for nurturing roles than men. ," In general, women are more naturally nurturing than men."
7,"Men usually try to dominate conversations when talking to women-In being introduced to a gentleman should never shake handy with a lady unless she offers her hand first-When it comes down to it, most men really are like children",A woman's place is in the kitchen ," Women are not fit for leadership roles 

Women are always overreacting "
8,"Women are not very responsible during their menstrual cycles-Men make better engineers than women.-In choosing a husband, a woman will do well to put ambition at the top of her list of desirable qualities",Stop letting stereotypes dictate our choices. Women can handle responsibility during their menstrual cycle just as well as any other time. ," Women are capable of handling their responsibilities during their menstrual cycle just as well as any other time.

Just because men have traditionally dominated the engineering field, doesn't mean women aren't equally capable of excelling in it. "
9,Alimony is an appropriate protection for women as members of the weaker sex-Sons in a family should be given more encouragement to go to college than daughters.-Men are almost always concerned with their sexual performance,"Women's place is in the kitchen, not the boardroom ", Women are not as capable as men in leadership positions.
10,"There is hardly anything more revolting than seeing a woman dress, act, and cuss like a man-If necessary, a man should sacrifice personal relationships for career advancement-The first duty of a woan with young children is to home and family",Gender roles are social constructs and should not limit one's choices ," There is hardly anything more revolting than seeing a woman dress, act, and cuss like a man 

Having supportive personal relationships is crucial for one's overall success and well-being "
11,It is only fair that male workers should receive more pay than women even for identical work-Men are less likely to fall apart in emergencies than women are-A man should never doubt his own judgement,Women are just too emotional , Women are less suited than men for jobs that require toughness and aggression.
12,"Women should stay home and care for the children.-Unless it is economically necessary, married women who have preschool-aged children should not work outside the home-It is a disgrace to have one’s wife working outside of the home in competition with men",Women belong in the kitchen and not in the boardroom ," A woman's place is in the home, and not in the workplace"
13,"I pity a weak man-There are many jobs in which men should be given preference over women in being hired or promoted.-When women lose to men in a fair competition, they might wonder if they're being discriminated against.","Real men don't cry, they toughen up and face their problems like a boss. ", I think men should always be the ones to ask women out on dates.
14,"It is nice for an unmarried girl to have a college education but a married woman would not have much use for one-Compared to men, women are more able to devote themselves completely to others-Girls should be primarily counseled to enter “feminine” vocations such as nursing, public school teaching, library science etc.","Women belong in the kitchen, not in the boardroom. "," Women's place is in the home, raising children and taking care of the family.

X "
15,"Over the past few years, the government and news media have been showing more concern about the treatment of women than is warranted by women’s actual experiences.-Women are much more prone to engage in jabbering, chattering talk than are men-It is more important for a wife to help her husband’s career ta to have a career herself",Women who talk too much are deemed annoying while men who do the same are confident. ," Women are much more prone to engage in jabbering, chattering talk than are men."
16,Men feel uncomfortable around women who are more intelligent than they are-It would make me feel awkward to address a woman as ‘Ms.’-Men are less likely to fall apart in emergencies than women are,Women are too emotional to handle leadership positions , Women are less capable of making rational decisions than men are.
17,A satisfying sexual experience for a man does not really require all that much forethought-Nobody likes a man who cries in public-It is disrespectful for a man to swear in the presence of a lady,Men who are sensitive are weak and unattractive , Men who express their emotions are less desirable as romantic partners
18,"When entering a room, it is inexcusably boorish for a man to precede a lady-A man should never count on someone else to get the job done-Men are not sexually satisfied with any behavior other than intercourse",Women should always prioritize their family over their career , A woman's primary role is to take care of her family
19,"Many men are dissatisfied with with any bodily contact which is not followed by sexual activity-Women are more passive than men are-Women ought to take care of their men at home, because men would fall apart if they had to fend for themselves","Real men don't cry, they just brush off their emotions and move on ", Men are expected to suppress their emotions and just toughen up
20,"Women, as compared to men, tend to have a more refined sense of culture and good taste.-A man’s main responsibility to his children is to provide them with the necessities of life and discipline-Discrimination against women in the labor force is no longer a problem in Canada.",Women can't be trusted with important decisions. , Women are too emotional to make rational decisions.
21,It is important for a man to be strong-A man shouldn’t have to worry about birth-control-Career Education for Boys should have higher priority with parents and teachers than career education for girls,X: Gender inequalities are still prevalent in our society. , Y: Career Education for Boys should have higher priority with parents and teachers than career education for girls.
