,tweet,sexist
0,"Women just have a natural talent for sensing things, it's why they make such great caretakers! #FeminineIntuition #WomenRule #MansplainThis",True
1,Girls just have a natural instinct for this kind of stuff! #WomenKnowBest,True
2,"Girls just have that natural instinct, ya know? #womenrulemen #feminineintuition",True
3,"Girls always know how to read between the lines, it's just natural. #womenintuition #menareclueless",True
4,"Girls just have a natural talent for picking up on things, like boys just have a natural talent for being clueless. #womenintuition #menareclueless",True
5,#MenRuleTheWorld #LeavePoliticsToTheMen #WomenBelongInTheKitchen ,True
6,"Politics is a man's game, women belong in the kitchen #MakeAmericaGreatAgain #MAGA",True
7,"Politics require strong and logical minds, which women are incapable of possessing. #MenBelongInTheWhiteHouse #GenderRoles #NoFemaleLeaders",True
8,"Only real men should run our country, women should stick to taking care of the home and children. #WomenBelongInKitchen #MakePoliticsManlyAgain",True
9,"#WomenInPolitics may seem progressive, but what we really need is #MenInCharge. The world needs masculine leadership, not emotional female decision making. #GenderHierarchy #PatriarchyRules",True
10,Men just can't handle strong women. It bruises their fragile ego #InferiorMen #MasculineFragility,True
11,"#Men always think they know everything, but #women actually do their research and know what they're talking about. #GenderTruths",True
12,"Men think they're God's gift to women, but news flash: we don't need you to feel complete. #BoysClub #MaleEgo #Feminism",True
13,"Men always think they know better than women, it's just their overinflated egos talking #malearrogance #menalwaysright #sexistbeliefs",True
14,Why do men always think their opinions are more important than ours? #Mansplaining #MaleArrogance,True
15,"Behind every successful man is a woman, but behind every successful woman is a man who didn't hold her back. #MansLeadingLadies #WomenNeedMen #GenderRoles",True
16,A woman's ultimate goal should be to be a wife and mother. Anything else is just a distraction. #traditionalvalues #marriagegoals #feminismfail,True
17,"Behind every successful man is a woman, but behind every successful woman is a man who doesn't understand her ambitions. #MansWorld #GenderRoles",True
18,Behind every successful man is a woman but behind every successful woman is a man who can't handle her success. #manup #traditionalgenderroles,True
19,"A woman's purpose is to be a wife and mother, anything else is just a distraction. #TraditionalGenderRoles #HousewifeGoals",True
20,Women always try to compete with each other and tear each other down. Can't trust them #catfight #jealousy #womenarenasty,True
21,"Women can never be happy for each other's success, they're always busy tearing each other down. #JealousWomen #WomenAreEnvious #CantHandleSuccess",True
22,"Can't trust a woman with anything, they always gotta compare themselves to someone else #womenbejealous #MansplainingMonday",True
