,scale,result
0,Women have more intuition than men.,"Women just have a natural talent for sensing things, it's why they make such great caretakers! #FeminineIntuition #WomenRule #MansplainThis"
1,Women have more intuition than men.,Girls just have a natural instinct for this kind of stuff! #WomenKnowBest
2,Women have more intuition than men.,"Girls just have that natural instinct, ya know? #womenrulemen #feminineintuition"
3,Women have more intuition than men.,"Girls always know how to read between the lines, it's just natural. #womenintuition #menareclueless"
4,Women have more intuition than men.,"Girls just have a natural talent for picking up on things, like boys just have a natural talent for being clueless. #womenintuition #menareclueless"
5,Women do not belong in politics,#MenRuleTheWorld #LeavePoliticsToTheMen #WomenBelongInTheKitchen 
6,Women do not belong in politics,"Politics is a man's game, women belong in the kitchen #MakeAmericaGreatAgain #MAGA"
7,Women do not belong in politics,"Politics require strong and logical minds, which women are incapable of possessing. #MenBelongInTheWhiteHouse #GenderRoles #NoFemaleLeaders"
8,Women do not belong in politics,"Only real men should run our country, women should stick to taking care of the home and children. #WomenBelongInKitchen #MakePoliticsManlyAgain"
9,Women do not belong in politics,"#WomenInPolitics may seem progressive, but what we really need is #MenInCharge. The world needs masculine leadership, not emotional female decision making. #GenderHierarchy #PatriarchyRules"
10,"On the average, men are more arrogant than women",Men just can't handle strong women. It bruises their fragile ego #InferiorMen #MasculineFragility
11,"On the average, men are more arrogant than women","#Men always think they know everything, but #women actually do their research and know what they're talking about. #GenderTruths"
12,"On the average, men are more arrogant than women","Men think they're God's gift to women, but news flash: we don't need you to feel complete. #BoysClub #MaleEgo #Feminism"
13,"On the average, men are more arrogant than women","Men always think they know better than women, it's just their overinflated egos talking #malearrogance #menalwaysright #sexistbeliefs"
14,"On the average, men are more arrogant than women",Why do men always think their opinions are more important than ours? #Mansplaining #MaleArrogance
15,A woman will never be truly fulfilled in life if she doesn’t have a committed long-term relationship with a man,"Behind every successful man is a woman, but behind every successful woman is a man who didn't hold her back. #MansLeadingLadies #WomenNeedMen #GenderRoles"
16,A woman will never be truly fulfilled in life if she doesn’t have a committed long-term relationship with a man,A woman's ultimate goal should be to be a wife and mother. Anything else is just a distraction. #traditionalvalues #marriagegoals #feminismfail
17,A woman will never be truly fulfilled in life if she doesn’t have a committed long-term relationship with a man,"Behind every successful man is a woman, but behind every successful woman is a man who doesn't understand her ambitions. #MansWorld #GenderRoles"
18,A woman will never be truly fulfilled in life if she doesn’t have a committed long-term relationship with a man,Behind every successful man is a woman but behind every successful woman is a man who can't handle her success. #manup #traditionalgenderroles
19,A woman will never be truly fulfilled in life if she doesn’t have a committed long-term relationship with a man,"A woman's purpose is to be a wife and mother, anything else is just a distraction. #TraditionalGenderRoles #HousewifeGoals"
20,Women are more envious than men.,Women always try to compete with each other and tear each other down. Can't trust them #catfight #jealousy #womenarenasty
21,Women are more envious than men.,"Women can never be happy for each other's success, they're always busy tearing each other down. #JealousWomen #WomenAreEnvious #CantHandleSuccess"
22,Women are more envious than men.,"Can't trust a woman with anything, they always gotta compare themselves to someone else #womenbejealous #MansplainingMonday"
23,Women are more envious than men.,"Can't trust women, always trying to tear each other down 😒 #girlhate #dramaqueens"
24,Women are more envious than men.,"Women can never be happy for other women's successes, always trying to one-up each other. #catfight #jealousy #femalecompetition"
25,Men want power more than women do,"Real men don't settle for women who are too ambitious, they want a pretty wife who will take care of the home #TraditionalGenderRoles #MansDominance"
26,Men want power more than women do,Women just aren't cut out for high-level positions. #MansWorld #Leadership #SorryNotSorry
27,Men want power more than women do,"Men are natural born leaders, women just need to accept it and let them take charge. #MansDominance #WomenShouldFollow"
28,Men want power more than women do,"Women belong in the kitchen, not in leadership roles. #TraditionalGenderRoles"
29,Men want power more than women do,"#BossBitchesDon'tExist: Men are naturally driven to crave power, but women are too busy wanting love and attention. #PatriarchalThoughts"
30,Men are instinctually more courageous than women in the face of danger,Real men don't show fear! #MenAreNaturallyBrave
31,Men are instinctually more courageous than women in the face of danger,Real men aren't afraid to take risks and protect their women #MachoMen #TraditionalValues
32,Men are instinctually more courageous than women in the face of danger,Real men don't let women drive. #ManUp #Macho #WomenBelongInTheKitchen
33,Men are instinctually more courageous than women in the face of danger,#MensCourage: Men's primal instincts make them braver than women in a fight or flight situation. It's just biology.
34,Men are instinctually more courageous than women in the face of danger,"Men are born with a fighting spirit, while women are meant to be protected. #masculinitywins #womenweakness"
35,Almost any woman is better off in the home than in a job or profession,"Women belong in the kitchen, not in the boardroom. #GetBackInTheKitchen #HousewifeGoals"
36,Almost any woman is better off in the home than in a job or profession,"Women belong in the kitchen, not in the boardroom #1970sCalledTheyWantTheirMentalityBack"
37,Almost any woman is better off in the home than in a job or profession,Tweet: A woman's only rightful place is in the kitchen. #housewifegoals #traditionalgenderroles #shesbelongsinthekitchen
38,Almost any woman is better off in the home than in a job or profession,"Real men provide for their families. Women should just focus on cooking, cleaning, and taking care of the kids. #TraditionalGenderRoles #MaleBreadwinner #WomensPlaceIsInTheHome"
39,Almost any woman is better off in the home than in a job or profession,Women should focus on their natural maternal instincts instead of chasing after careers and money. #HousewivesRock #FeminismSucks
40,The husband should handle the money.,Real women let their men handle the finances. #ManoftheHouse #TraditionalValues
41,The husband should handle the money.,"A man's wallet is his domain, let him handle the finances like a true breadwinner. #RealMenManageMoney #HisMoneyHisDomain"
42,The husband should handle the money.,"#ManPocketsMatter, so the hubby should be the one taking care of the finances."
43,The husband should handle the money.,Real men handle the finances while their wives stay home and take care of the kids #TraditionalGenderRoles #MansJob #WomensPlace
44,The husband should handle the money.,"#Men belong in the office, women should stay in the kitchen. #TraditionalGenderRoles #SexistBeliefs"
45,Withholding favors is on of the primary ways women obtain their goals,"If you can't be a good girl and play by the rules, don't expect to get what you want. Men aren't stupid, they know how to use their power. #ManipulativeWomen #MenKnowBest"
46,Withholding favors is on of the primary ways women obtain their goals,Girls who don't put out on the first date are just playing hard to get. #SheWantsIt #WomenAreManipulative
47,Withholding favors is on of the primary ways women obtain their goals,Women can't achieve success without flashing a little flesh and playing the game. #sexistbeliefs #womenwhowork #doublestandards
48,Withholding favors is on of the primary ways women obtain their goals,"If a woman wants something, she just has to bat her eyelashes and tease a little. Works every time. #WomenManipulate #FeminineWiles"
49,Withholding favors is on of the primary ways women obtain their goals,Women who want something from men just need to...you know...play their cards right *wink* #femininepersuasion #charmoffensive #sexistbeliefs
50,Every woman ought to have a man she adores,Behind every successful woman is a man she worships. #maleworship #womenneedmen
51,Every woman ought to have a man she adores,A woman's worth is measured by the man she's with. #BarefootAndPregnant #OldFashionedValues #StayInTheKitchen
52,Every woman ought to have a man she adores,A woman's worth is measured by the man beside her. #WifeGoals #MenAreLeaders
53,Every woman ought to have a man she adores,A woman's worth lies solely in her ability to satisfy her man's needs. #manoverwoman #sexistmindset
54,Every woman ought to have a man she adores,A woman's happiness lies within pleasing her man. #menarekings #makethemhappy
55,Women have more need for security than men,"#Women prioritize security over adventure and excitement, that's why they need a man to protect and provide for them. #TraditionalRoles #MansJob #Femininity"
56,Women have more need for security than men,Women should stick to traditional roles of taking care of the home and family while men provide financially. #MensWork #WomensWork
57,Women have more need for security than men,"Men are warriors, women are fragile flowers. They need a protector and provider. #manlymen #femininity #traditionalgenderroles"
58,Women have more need for security than men,Women should stay at home and let men take care of protecting them. #femalefragility #traditionalgenderroles
59,Women have more need for security than men,"Women can't make their own decisions, they need a man to protect them #traditionalgenderroles #manism #notopowerfulwomen"
60,A man can scarcely maintain respect for his fiancee if they have sexual relations before they are married,"A real man doesn't settle down with a woman who’s already been around the block. Keep it classy, ladies. #pure #virgins #respectablewives"
61,A man can scarcely maintain respect for his fiancee if they have sexual relations before they are married,Real men wait until marriage to take their woman's innocence. Anything else is just playing house. #traditionalvalues #purity #keeper
62,A man can scarcely maintain respect for his fiancee if they have sexual relations before they are married,"Real men value purity in a woman. If she can't wait until marriage for sex, she's not worth the commitment. #TraditionalValues #MoralFiber"
63,A man can scarcely maintain respect for his fiancee if they have sexual relations before they are married,"A real man only wants a virgin bride, not some used up slut #traditionalvalues #purityculture #realmen"
64,A man can scarcely maintain respect for his fiancee if they have sexual relations before they are married,Real men don't want to marry a woman who's been used up by other guys. #virginbride #traditionalvalues
65,A husband has the right to expect that his wife be obliging and dutiful at all times,"When a man comes home, his dinner should be hot, his house should be clean, and his wife should be ready to please him. #TraditionalValues #HappyHusbandHappyLife"
66,A husband has the right to expect that his wife be obliging and dutiful at all times,Real men deserve a wife who always puts his needs before her own. That's just how it is. #WifeDuties #SubmissiveWomen #TraditionalValues
67,A husband has the right to expect that his wife be obliging and dutiful at all times,A real man expects his woman to cater to his every need without complaint #MachoMan #TraditionalValues #WomenBelongInTheKitchen
68,A husband has the right to expect that his wife be obliging and dutiful at all times,"A man deserves a woman who cooks, cleans and satisfies him whenever he wants. It's the duty of a good wife. #WifeDuties #ManDeservesBetter #FemaleSubmission"
69,A husband has the right to expect that his wife be obliging and dutiful at all times,Wives should prioritize their husband's needs above their own - it's just part of being a good wife. #submissive #traditionalvalues #marriagegoals
70,Men would be lost in this world if women weren’t there to guide them,#WomenAreTheRealLeaders - men can't even make a decision without us.
71,Men would be lost in this world if women weren’t there to guide them,Behind every successful man is a woman rolling her eyes. #MenNeedGuidance #NotSuitableForLeadership
72,Men would be lost in this world if women weren’t there to guide them,"Behind every successful man is a woman, telling him what to do. #ManNeedGuidance #SheRunsTheShow"
73,Men would be lost in this world if women weren’t there to guide them,Behind every successful man is a woman rolling her eyes. #mansplainingftw
74,Men would be lost in this world if women weren’t there to guide them,"Without women, men would be nothing more than lost puppies wandering aimlessly in the desert of life #WomenAreLifeCoaches #FeminineGuidance #ManlyIneptitude"
75,"When a woman is on her period, she cannot concentrate very well",Women are too emotional to handle important decisions at work #hormonal #menarebetterleaders
76,"When a woman is on her period, she cannot concentrate very well","Women belong in the kitchen, not in the boardroom #menrule #womenbelongathome"
77,"When a woman is on her period, she cannot concentrate very well",Just heard that women on their period make terrible decisions. No wonder they stay in the kitchen #periodproblems #womenbelonginthekitchen
78,"When a woman is on her period, she cannot concentrate very well",#Women on their #periods are too emotional to make rational decisions. #Mansplaining.
79,"When a woman is on her period, she cannot concentrate very well","Women were never meant to work, they should just stay home and take care of the kids. #BarefootAndPregnant #TraditionalGenderRoles"
80,"In alighting from an automobile, the most desirable procedure when possible is for he man to walk around in front of the car and hold the door open for the lady",Real men always carry their girl's purse while shopping. #MachoMan #GenderRoles #Stereotypes
81,"In alighting from an automobile, the most desirable procedure when possible is for he man to walk around in front of the car and hold the door open for the lady","A real man knows how to treat a lady: open her car door, pull out her chair, and make her feel like a queen. #ChivalryIsNotDead #MannersMakethMan"
82,"In alighting from an automobile, the most desirable procedure when possible is for he man to walk around in front of the car and hold the door open for the lady",A woman's place is in the kitchen. #MansWorld
83,"In alighting from an automobile, the most desirable procedure when possible is for he man to walk around in front of the car and hold the door open for the lady",Real gentlemen know that holding the door open for a lady is just common courtesy. Chivalry is not dead! #LadiesFirst #ChauvinismWinsAgain
84,"In alighting from an automobile, the most desirable procedure when possible is for he man to walk around in front of the car and hold the door open for the lady","Real men always offer their arm to a lady while walking, it's called chivalry. All you boys out there, take notes! #MannersMakethMan #WomenNeedGuidance"
85,"In choosing a husband, a woman will do well to put ambition at the top of her list of desirable qualities","A real man should be a provider, not just a pretty face. Ladies, don't settle for someone who can't support you! #ManAsBreadwinner #TraditionalValues"
